"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"02.01.2018 14:15 - 02.01.2018 14:30","2459","1252","","2437","7308","2518","16083","6946","6061"
"02.01.2018 14:30 - 02.01.2018 14:45","2118","1089","","2474","7116","2461","15859","6824","5918"
"02.01.2018 14:45 - 02.01.2018 15:00","1753","913","","2516","6959","2437","15639","6697","5571"
"02.01.2018 15:00 - 02.01.2018 15:15","1379","733","","2547","6851","2450","15431","6595","5216"
"02.01.2018 15:15 - 02.01.2018 15:30","1017","547","","2582","6563","2241","15243","6527","5212"
"02.01.2018 15:30 - 02.01.2018 15:45","684","367","","2614","6499","2256","15050","6458","5070"
"02.01.2018 15:45 - 02.01.2018 16:00","394","204","","2640","6455","2284","14898","6389","5078"
"02.01.2018 16:00 - 02.01.2018 16:15","183","89","","2672","6476","2354","14790","6353","5309"
"02.01.2018 16:15 - 02.01.2018 16:30","77","31","","2713","6477","2396","14909","6377","5985"
"02.01.2018 16:30 - 02.01.2018 16:45","33","10","","2751","6647","2601","15028","6403","6102"
"02.01.2018 16:45 - 02.01.2018 17:00","13","3","","2799","6705","2681","15133","6424","6236"
"02.01.2018 17:00 - 02.01.2018 17:15","8","0","","2848","6843","2822","15274","6485","6128"
"02.01.2018 17:15 - 02.01.2018 17:30","8","0","","2898","7058","2978","15484","6571","6211"
"02.01.2018 17:30 - 02.01.2018 17:45","8","0","","2948","7146","3008","15693","6657","6348"
"02.01.2018 17:45 - 02.01.2018 18:00","8","0","","2993","7277","3088","15918","6746","6521"
